Order Month,Order Year,Customer Name,Segment,City,State,Region,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit
11,2016,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96 ,2,0,$41.91 
11,2016,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94 ,3,0,$219.58 
6,2016,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62 ,2,0,$6.87 
10,2015,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58 ,5,0.45,($383.03)
10,2015,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37 ,2,0.2,$2.52 
6,2014,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86 ,7,0,$14.17 
6,2014,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,$7.28 ,4,0,$1.97 
6,2014,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15 ,6,0.2,$90.72 
6,2014,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50 ,3,0.2,$5.78 
6,2014,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90 ,5,0,$34.47 
6,2014,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18 ",9,0.2,$85.31 
6,2014,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42 ,4,0.2,$68.36 
4,2017,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,$15.55 ,3,0.2,$5.44 
12,2016,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98 ,3,0.2,$132.59 
11,2015,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81 ,5,0.8,($123.86)
11,2015,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54 ,3,0.8,($3.82)
11,2014,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72H x 36""""W x 18 1/2""""D""""",$665.88 ,6,0,$13.32 
5,2014,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50 ,2,0,$9.99 
8,2014,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,$8.56 ,2,0,$2.48 
8,2014,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,$213.48 ,3,0.2,$16.01 
8,2014,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72 ,4,0.2,$7.38 
12,2016,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,$19.46 ,7,0,$5.06 
12,2016,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34 ,7,0,$15.69 
7,2017,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37 ,2,0.3,($1.02)
9,2015,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63 ",3,0,$240.26 
1,2016,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65 ,2,0.2,$4.22 
1,2016,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57 ,3,0,$11.77 
9,2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43 ",7,0.5,"($1,665.05)"
9,2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62 ,2,0.7,($7.05)
9,2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock""""",$124.20 ,3,0.2,$15.53 
9,2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26 ,2,0.2,$1.10 
9,2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30 ,6,0.2,$9.71 
9,2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,$15.76 ,2,0.2,$3.55 
10,2017,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,$29.47 ,3,0.2,$9.95 
12,2016,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,"$1,097.54 ",7,0.2,$123.47 
12,2016,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92 ,5,0.6,($147.96)
12,2015,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8 x 9 1/2"""" Premium Diagonal Seam Envelopes""""",$113.33 ,9,0.2,$35.42 
12,2015,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40 ,3,0.32,($46.98)
12,2015,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06 ,3,0.3,($15.15)
12,2015,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17 ,4,0.2,$41.76 
9,2017,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,$147.17 ,4,0.2,$16.56 
7,2016,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88 ,2,0,$3.89 
9,2017,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62 ,2,0.2,$9.56 
3,2016,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98 ,2,0,$19.77 
3,2016,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46 ,2,0,$8.21 
10,2014,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96 ,4,0,$8.48 
6,2016,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00 ,3,0,$4.95 
6,2016,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80 ,2,0,$6.10 
4,2015,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22 ,6,0,$17.96 
4,2015,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,$75.18 ,6,0,$35.33 
4,2015,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16 ,2,0,$2.96 
4,2015,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99 ,1,0,$17.10 
12,2016,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,$15.26 ,7,0,$6.26 
12,2016,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95 ",5,0,$298.69 
6,2016,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,$208.56 ,6,0,$52.14 
6,2016,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,$32.40 ,5,0,$15.55 
6,2016,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,$319.41 ,5,0.1,$7.10 
6,2016,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56 ,2,0,$6.99 
6,2016,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00 ,2,0,$3.30 
6,2016,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,$48.48 ,4,0.2,$16.36 
6,2016,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68 ,1,0,$0.84 
11,2015,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98 ,2,0,$6.15 
11,2015,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8 X 11""""""""",$25.82 ,6,0.2,$9.36 
11,2015,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,$146.73 ,3,0,$68.96 
11,2015,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76 ,4,0,$22.33 
4,2015,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12 ,5,0.3,($15.22)
12,2014,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02 ",8,0.2,$111.30 
12,2014,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97 ,4,0.2,$62.99 
6,2016,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88 ,2,0,$35.66 
9,2016,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62 ,1,0.2,$1.73 
